REF NO.,DATE,CATEGORY,CLIENT: PROJECT,FOREIGN AMOUNT,EXCHANGE RATE,CURRENCY,AMOUNT,DEPARTMENT,LINE OF BUSINESS,OFFICE,BILLABLE,MEMO,RECEIPT,ATTACH FILE,CORPORATE CARD,CARD HOLDER NUMBER
303,11/27/24,DH: Travel Costs - Gas/Rental Car,,12.84,1,USD,12.84,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1109_pmc_2024-11-27_12_83.jpg,,
304,11/27/24,DH: Travel Costs - Flights,,884.98,1,USD,884.98,CEO,,,,Southwest Airlines - Nashville December flight,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1110_southwest_2024-12-02_884_98.jpg,,
305,11/26/24,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1108_metropolis_2024-11-25_26_25.jpg,,
306,11/25/24,Company Meetings and Meals,,72.89,1,USD,72.89,CEO,,,,"Corner Pub - Lunch with Scott Siman (Em.co), Dallas Jackson, and Blake",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1104_the_original_corner_pub_2024-11-25_72_00.jpg,,
307,11/25/24,Company Meetings and Meals,,51.98,1,USD,51.98,CEO,,,,Corner Pub - Lunch with Scott Siman (Em.co),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1105_corner_pub_2024-11-25_51_97.jpg,,
308,11/25/24,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1106_metropolis_parking_2024-11-24_26_25.jpg,,
309,11/25/24,Company Meetings and Meals,,38.78,1,USD,38.78,CEO,,,,Soho House Nashville - Meeting with Scott Siman (Em.co),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1107_soho_house_nashville_2024-11-25_38_78.jpg,,
310,11/24/24,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1101_anthropic_2024-11-23_21_94.jpg,,
311,11/24/24,Company Meetings and Meals,,52.99,1,USD,52.99,CEO,,,,Soho House Nashville - Meeting with Jason Ross (Down Home),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1103_soho_house_nashville_2024-11-24_52_99.jpg,,
312,11/23/24,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1100_metropolis_2024-11-22_26_25.jpg,,
313,11/22/24,Company Meetings and Meals,,34.9,1,USD,34.9,CEO,,,,Soho House Nashville - Dinner with Abbi Roth,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1097_soho_house_nashville_2024-11-22_34_89.jpg,,
314,11/22/24,Company Meetings and Meals,PROJ299 Music City Rodeo,59.46,1,USD,59.46,CEO,,,,Soho House Nashville - Meeting with Bill Stapleton,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1098_soho_house_nashville_2024-11-22_59_46.png,,
315,11/22/24,Company Meetings and Meals,,15.51,1,USD,15.51,CEO,,,,Soho House Nashville - Drinks with Abbi Roth,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1099_soho_house_nashville_2024-11-22_15_50.jpg,,
316,11/21/24,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1095_metropolis_parking_2024-11-21_26_25.jpg,,
317,11/21/24,DH: Travel Costs - Gas/Rental Car,,34.96,1,USD,34.96,CEO,,,,Parking - Omni Nashville meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1096_omni_nashville_2024-11-21_34_96.jpg,,
318,11/20/24,Software subscriptions,,100.0,1,USD,100.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1093_ada_ai_2024-11-20_100_00.jpg,,
319,11/20/24,DH: Travel Costs - Gas/Rental Car,,20.66,1,USD,20.66,CEO,,,,Parking - Bourbon Auction pitch,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1094_pmc_paid_parking_2024-08-22_22_28.jpg,,
320,11/19/24,Company Meetings and Meals,,30.69,1,USD,30.69,CEO,,,,Marsh House - Dinner with the Steiners,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1092_soho_house_nashville_2025-04-30_30_62.jpeg,,
321,11/18/24,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/824_midjourney_2024-11-18_32_92.jpg,,
322,11/18/24,Software subscriptions,,160.0,1,USD,160.0,CEO,Down Home : Music,,,Chartmetric - Music industry analytics (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1091_chartmetric_inc_2024-11-18_160_00.jpg,,
323,11/17/24,Company Meetings and Meals,,47.34,1,USD,47.34,CEO,Down Home : Music,,,Broadway Brewhouse - Dinner with Tyler Stevens (Kinwoven),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1090_broadway_brewhouse_downtown_2024-11-17_47_34.jpg,,
324,11/16/24,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1089_metropolis_2024-11-15_26_25.jpg,,
325,11/15/24,DH: Travel Costs - Gas/Rental Car,,29.4,1,USD,29.4,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1084_metropolis_parking_2024-11-15_29_39.jpg,,
326,11/15/24,DH: Travel Costs - Gas/Rental Car,,15.99,1,USD,15.99,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1085_metropolis_2024-11-12_15_99.jpg,,
327,11/15/24,Company Meetings and Meals,,16.8,1,USD,16.8,CEO,,,,Soho House Nashville - Dinner with Rae Del Bianco (Ten Year Town),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1087_soho_house_nashville_2024-11-15_16_80.jpg,,
328,11/15/24,Software subscriptions,,102.03,1,USD,102.03,CEO,,,,Apple - Apple One Bundle (Annual),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4332_apple_apple_one_bundle__annual__2024-11-15_102_03.png,,
329,11/14/24,Company Meetings and Meals,,279.44,1,USD,279.44,CEO,,,,"12 South Taproom - Team dinner with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1079_12_south_taproom_2024-11-13_279_43.jpg,,
330,11/14/24,Software subscriptions,,27.44,1,USD,27.44,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1080_anthropic_2024-11-14_27_44.jpg,,
331,11/14/24,Software subscriptions,,5.0,1,USD,5.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1081_cloudflare_2024-11-14_5_00.jpg,,
332,11/14/24,DH: Travel Costs - Gas/Rental Car,,15.99,1,USD,15.99,CEO,,,,Parking - Meeting with Wesley Street (Nashville Aircraft),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1082_metropolis_parking_2024-11-14_15_99.jpg,,
333,11/14/24,Company Meetings and Meals,,7.76,1,USD,7.76,CEO,,,,Soho House Nashville - Meeting with Wesley Street (Nashville Aircraft),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1083_soho_house_nashville_2024-11-14_7_75.jpg,,
334,11/13/24,Company Meetings and Meals,PROJ299 Music City Rodeo,1043.66,1,USD,1043.66,CEO,Down Home : Music,,,Givergy - CMA Foundation charity auction (Golden Nugget),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1075_givergy_nashville_bourbon_auct_2024-11-12_1043_66.jpg,,
335,11/13/24,DH: Travel Costs - Gas/Rental Car,,15.99,1,USD,15.99,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1076_metropolis_2024-11-14_15_99.jpg,,
336,11/13/24,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1077_sourcegraph_inc_2024-11-13_9_00.jpg,,
337,11/13/24,Company Meetings and Meals,,42.01,1,USD,42.01,CEO,,,,The Perch - Meeting with Chris King,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1078_the_perch_2024-11-13_42_00.jpg,,
338,11/12/24,Company Meetings and Meals,,176.99,1,USD,176.99,CEO,Down Home : Music,,,"Soho House Nashville - Meeting with Tim Staples (Shareability), Tyler Stevens (Kinwoven)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1073_soho_house_nashville_2024-11-12_176_99.jpg,,
339,11/12/24,Company Meetings and Meals,PROJ299 Music City Rodeo,361.72,1,USD,361.72,CEO,,,,"Soho House Nashville - Meeting with Bill Stapleton, Scott Siman (Em.co)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1074_soho_house_nashville_2024-11-12_361_72.jpg,,
340,11/9/24,Software subscriptions,,50.0,1,USD,50.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1072_ada_ai_2024-11-07_50_00.jpg,,
341,11/8/24,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1067_calendarbridge_2024-11-08_10_00.jpg,,
342,11/8/24,Company Meetings and Meals,,25.57,1,USD,25.57,CEO,,,,"Las Palmas - Down Home house meeting with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1068_tacos_por_favor_2024-11-08_25_28.png,,
343,11/8/24,DH: Travel Costs - Gas/Rental Car,,10.99,1,USD,10.99,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1069_metropolis_2024-11-08_10_99.jpg,,
344,11/8/24,Company Meetings and Meals,,45.24,1,USD,45.24,CEO,Down Home : Music,,,Soho House Nashville - Dinner with Ben Kline (Red Light Management),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1070_sh_nashville_other_2024-11-08_45_24.png,,
345,11/8/24,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1071_spotify_usa_inc_2024-11-08_13_13.jpg,,
346,11/7/24,Software subscriptions,,50.0,1,USD,50.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1063_ada_ai_2024-11-07_50_00.jpg,,
347,11/7/24,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,Down Home : Music,,,Parking - Meeting with Ben Kline (Red Light Management),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1064_metropolis_2024-11-06_26_25.jpg,,
348,11/7/24,Company Meetings and Meals,,20.64,1,USD,20.64,CEO,,,,Cannery Hall - Industry event meal,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1065_cannery_hall_2024-11-07_20_64.jpg,,
349,11/7/24,Company Meetings and Meals,,12.46,1,USD,12.46,CEO,,,,District Coffee - Coffee with Scott Siman (Em.co),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1066_district_coffee_2024-11-07_12_46.jpg,,
350,11/6/24,DH: Travel Costs - Gas/Rental Car,,23.21,1,USD,23.21,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1061_pmc_2024-11-06_23_21.jpg,,
351,11/6/24,Company Meetings and Meals,PROJ299 Music City Rodeo,102.26,1,USD,102.26,CEO,,,,Soho House Nashville - Meeting with Bill Stapleton,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1062_soho_house_nashville_2024-11-06_102_26.jpg,,
352,11/4/24,Company Meetings and Meals,,39.87,1,USD,39.87,CEO,,,,Corner Pub - Lunch with Scott Siman (Em.co),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1059_corner_pub_green_hills_2024-11-04_39_86.jpg,,
353,11/3/24,Software subscriptions,,25.0,1,USD,25.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1058_ada_ai_2024-11-02_25_00.jpg,,
354,11/1/24,Software subscriptions,,19.76,1,USD,19.76,CEO,,,,Expensify - Expense tracking and reporting (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1053_expensify_2024-11-01_19_76.jpg,,
355,11/1/24,Software subscriptions,,25.0,1,USD,25.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1054_ada_ai_2024-11-03_25_00.jpg,,
356,11/1/24,DH: Travel Costs - Gas/Rental Car,,21.0,1,USD,21.0,CEO,,,,Parking - CMS Nashville,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1055_metropolis_2024-11-01_21_00.jpg,,
357,11/1/24,Software subscriptions,,52.68,1,USD,52.68,CEO,,,,Notion - Wiki and documentation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1056_notion_labs_inc_2024-11-01_52_67.jpg,,
358,11/1/24,Company Meetings and Meals,,23.27,1,USD,23.27,CEO,Down Home : Music,,,Soho House Nashville - CMS Nashville meeting with Devin Ford (CMA),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1057_soho_house_nashville_2019-07-25_23_26.jpg,,
359,10/31/24,Company Meetings and Meals,,67.97,1,USD,67.97,CEO,,,,"Kalamatas - Team lunch with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1052_kalamata_s_2024-10-30_67_96.jpg,,
360,10/31/24,Software subscriptions,,23.14,1,USD,23.14,CEO,,,,Apple - Apple One Monthly,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4325_apple_apple_music_family_2024-10-31_23_14.png,,
361,10/30/24,Company Meetings and Meals,,159.74,1,USD,159.74,CEO,,,,"12 South Taproom - Team dinner with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1049_12_south_taproom_2024-10-29_159_74.jpg,,
362,10/30/24,Company Meetings and Meals,,49.24,1,USD,49.24,CEO,,,,"Taco Bamba - Team lunch with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1050_taco_bamba_2024-10-29_49_24.jpg,,
363,10/30/24,Software subscriptions,,32.93,1,USD,32.93,CEO,,,,"Midjourney - Marketing, creative, pitch decks (Monthly)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1051_midjourney_inc_2024-10-29_32_92.jpg,,
364,10/28/24,Company Meetings and Meals,,60.0,1,USD,60.0,CEO,,,,JJK Foundation - 3x$20 Dream Box Raffle tickets,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1048_jjk_foundation_2024-10-28_60_00.png,,
365,10/26/24,Software subscriptions,,19.99,1,USD,19.99,CEO,,,,IMDb Pro - Film/TV industry database (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1044_imdb_com_inc_2024-10-26_19_98.jpg,,
366,10/26/24,DH: Travel Costs - Hotel/Lodging,,427.56,1,USD,427.56,CEO,,,,Le Meridien St. Louis - Business travel lodging,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1045_le_meridien_st_louis_clayton_2024-10-25_427_56.jpg,,
367,10/26/24,DH: Travel Costs - Cab/Uber/Bus Fare,,49.71,1,USD,49.71,CEO,,,,Uber around St. Louis - Jackie Joyner Kersee Event,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1046_uber_2024-10-25_49_71.jpg,,
368,10/25/24,DH: Travel Costs - Gas/Rental Car,,27.0,1,USD,27.0,CEO,,,,Parking - St. Louis business trip,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/144_bonhomme_place_garage_2024-10-25_27_00.png,,
369,10/25/24,Software subscriptions,,50.0,1,USD,50.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1043_ada_ai_2024-10-25_50_00.jpg,,
370,10/24/24,Software subscriptions,,21.95,1,USD,21.95,CEO,,,,Claude AI - AI assistant for content creation and coding (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1041_anthropic_2024-10-23_21_94.jpg,,
371,10/23/24,DH: Travel Costs - Gas/Rental Car,,6.73,1,USD,6.73,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1038_belcourt_lot_201_2024-10-23_6_73.jpg,,
372,10/23/24,Company Meetings and Meals,,34.75,1,USD,34.75,CEO,,,,Fido Coffee - Coffee with Rachel,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1040_fido_2024-10-23_34_75.jpg,,
373,10/22/24,Software subscriptions,,144.0,1,USD,144.0,CEO,,,,Runway AI - Video editing and AI effects (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1037_runway_ai_inc_2024-10-22_144_00.jpg,,
374,10/21/24,Software subscriptions,,50.0,1,USD,50.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/806_ada_ai_2024-10-21_50_00.jpg,,
375,10/18/24,Software subscriptions,,160.0,1,USD,160.0,CEO,Down Home : Music,,,Chartmetric - Music industry analytics (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1035_chartmetric_inc_2024-10-18_160_00.jpg,,
376,10/18/24,Software subscriptions,,25.0,1,USD,25.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1631_imadaai_2024-10-18_25_00.jpg,,
377,10/16/24,Company Meetings and Meals,,1450.0,1,USD,1450.0,CEO,Down Home : Music,,,Academy of Country Music - Industry membership (Annual),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1027_academy_of_country_music_2024-10-16_1450_00.jpg,,
378,10/16/24,Company Meetings and Meals,,133.44,1,USD,133.44,CEO,,,,Corner Pub - Lunch with Scott Siman (Em.co) and Dallas Jackson,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1029_corner_pub_green_hills_2024-10-16_133_43.jpg,,
379,10/16/24,DH: Travel Costs - Gas/Rental Car,,19.94,1,USD,19.94,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1030_pmc_parking_2024-10-16_19_94.png,,
380,10/16/24,Company Meetings and Meals,,37.48,1,USD,37.48,CEO,,,,Soho House Nashville - Coffee with Tim Staples (Shareability),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1032_soho_house_nashville_2024-10-16_37_47.jpg,,
381,10/16/24,Company Meetings and Meals,,29.73,1,USD,29.73,CEO,,,,Soho House Nashville - Meeting with Tim Staples (Shareability),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1033_soho_house_nashville_2024-10-16_29_73.jpg,,
382,10/16/24,Company Meetings and Meals,,84.35,1,USD,84.35,CEO,,,,Soho House Nashville - Meeting with Tim Staples (Shareability) and Brian,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1034_soho_house_nashville_2024-10-16_84_34.jpg,,
383,10/16/24,DH: Travel Costs - Gas/Rental Car,,26.22,1,USD,26.22,CEO,,,,Parking - Meeting with Tim Staples (Shareability),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1629_pmc_paid_parking_2024-10-16_26_22.jpg,,
384,10/16/24,Software subscriptions,,106.4,1,USD,106.4,CEO,,,,Apple - AppleCare+ device protection (Annual),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/4333_apple_apple_care___protection_2024-10-16_106_4.png,,
385,10/15/24,Company Meetings and Meals,PROJ299 Music City Rodeo,422.72,1,USD,422.72,CEO,,,,"Char Nashville - Dinner with Bill Stapleton, Scott Siman (Em.co), Kelly Clague (Em.co)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1026_char_nashville_2024-10-15_422_72.jpg,,
386,10/14/24,Software subscriptions,,5.0,1,USD,5.0,CEO,,,,Cloudflare - CDN and DNS for Down Home websites (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1025_cloudflare_2025-01-14_5_00.jpg,,
387,10/13/24,Software subscriptions,,9.0,1,USD,9.0,CEO,,,,Sourcegraph - Code search and intelligence (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1024_sourcegraph_inc_2024-10-13_9_00.jpg,,
388,10/11/24,Company Meetings and Meals,,24.22,1,USD,24.22,CEO,,,,"Las Palmas - Down Home house meeting with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1019_las_palmas_mexican_restaurant_2024-10-10_24_21.jpg,,
389,10/11/24,Company Meetings and Meals,,23.27,1,USD,23.27,CEO,,,,Soho House Nashville - Coffee with Scott Siman (Em.co),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1020_soho_house_nashville_2024-10-11_23_26.png,,
390,10/11/24,Company Meetings and Meals,,27.14,1,USD,27.14,CEO,,,,Soho House Nashville - Lunch with Tim Staples (Shareability),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1021_soho_house_nashville_2024-11-25_25_37.jpg,,
391,10/11/24,Company Meetings and Meals,,62.04,1,USD,62.04,CEO,,,,Soho House Nashville - Meeting with Jason Ross (Down Home),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1022_sh_nashville_other_2024-10-11_62_03.jpg,,
392,10/10/24,Company Meetings and Meals,,123.79,1,USD,123.79,CEO,,,,"12 South Taproom - Team dinner with Rachel, Kevin Sabbe",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1017_12_south_taproom_2024-10-09_123_79.jpg,,
393,10/9/24,DH: Travel Costs - Gas/Rental Car,,30.05,1,USD,30.05,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1016_pmc_paid_parking_2024-10-09_30_05.png,,
394,10/8/24,Company Meetings and Meals,,83.92,1,USD,83.92,CEO,,,,Corner Pub - Lunch with Scott Siman (Em.co) and Dallas Jackson,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/143_s7_00_2024-10-08_83_92.jpg,,
395,10/8/24,Software subscriptions,,10.0,1,USD,10.0,CEO,,,,CalendarBridge - Calendar sync across accounts (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1011_calendarbridge_2024-10-08_10_00.jpg,,
396,10/8/24,Software subscriptions,,50.0,1,USD,50.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1013_im_ada_ai_2024-10-08_50_00.jpg,,
397,10/8/24,DH: Travel Costs - Gas/Rental Car,,26.25,1,USD,26.25,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1014_metropolis_2024-10-07_26_25.jpg,,
398,10/8/24,Software subscriptions,,13.13,1,USD,13.13,CEO,Down Home : Music,,,Spotify Premium - Music research and industry tracking (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1015_spotify_usa_inc_2024-11-08_13_13.jpg,,
399,10/7/24,Company Meetings and Meals,,52.99,1,USD,52.99,CEO,,,,Soho House Nashville - Meeting with Tim Staples (Shareability),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/741_soho_house_nashville_2019-11-24_52_99.jpg,,
400,10/7/24,Company Meetings and Meals,,29.73,1,USD,29.73,CEO,,,,Soho House Nashville - Meeting with Tim Staples (Shareability),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/1010_soho_house_nashville_2024-10-07_29_73.jpg,,
401,10/4/24,Software subscriptions,,19.99,1,USD,19.99,CEO,,,,Apple - ChatGPT Plus (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/736_apple_com_2024-10-03_23_14.jpg,,
402,10/4/24,Software subscriptions,,25.0,1,USD,25.0,CEO,,,,Ada AI - AI conversation platform (Monthly),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/737_ada_ai_2024-11-03_25_00.jpg,,
403,10/4/24,DH: Travel Costs - Gas/Rental Car,,21.0,1,USD,21.0,CEO,,,,Parking - Downtown meeting,Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/738_metropolis_2024-10-04_21_00.jpg,,
404,10/4/24,Company Meetings and Meals,,23.27,1,USD,23.27,CEO,Down Home : Music,,,Soho House Nashville - Coffee with Ben Kline (Red Light Management),Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/739_soho_house_nashville_2024-11-01_23_26.jpg,,
405,10/3/24,Company Meetings and Meals,,106.85,1,USD,106.85,CEO,Down Home : Music,,,"Smokin Thighs Nashville - Lunch with Tom May (Shareability), Tyler Stevens (Kinwoven), Tim Staples (Shareability)",Yes,https://pub-35015e19c4b442b9af31f1dfd941f47f.r2.dev/downhome/733_smokin_thighs_2024-10-02_106_84.jpg,,
